feature,raw_min,raw_max,missing_count,missing_rate,transformation,imputation_median_transformed,robust_center,robust_scale_iqr
TOTUSJH,0.0,14288.970703125,2224,0.035034656584751134,signed_log1p,2.9364338535641465,2.9364338535641465,2.3049518714809283
TOTBSQ,0.0,254765154304.0,2224,0.035034656584751134,signed_log1p,18.953652042046343,18.953652042046343,2.80412278368118
TOTPOT,0.0,8.67218978029276e+25,2224,0.035034656584751134,signed_log1p,48.43339092504827,48.43339092504827,2.826790954270642
TOTUSJZ,0.0,283397444337664.0,2224,0.035034656584751134,signed_log1p,26.699639385680136,26.699639385680136,2.307453618193854
ABSNJZH,0.0,2856.350830078125,2224,0.035034656584751134,signed_log1p,1.0444958889896445,1.0444958889896445,1.8050685661031045
SAVNCPP,0.0,108546205155328.0,2223,0.03501890359168247,signed_log1p,25.76229035028114,25.76229035028114,2.5496768115323007
USFLUX,0.0,2.073137693011818e+23,2224,0.035034656584751134,signed_log1p,47.2174994237606,47.2174994237606,2.5709344766657978
TOTFZ,-7.793318639668164e+25,3.770667250765593e+24,2224,0.035034656584751134,signed_log1p,-53.31091352691948,-53.31091352691948,2.867204591011287
MEANPOT,2.9227888584136963,1540010240.0,8723,0.1374133585381222,signed_log1p,7.4867157402135245,7.4867157402135245,0.7975615752914562
EPSZ,-0.9988124370574951,0.9995484352111816,8723,0.1374133585381222,identity,-0.6356666088104248,-0.6356666088104248,0.20758794248104095
MEANSHR,1.2411197423934937,164.76919555664062,8723,0.1374133585381222,identity,22.884302139282227,22.884302139282227,9.58319616317749
SHRGT45,0.0,100.0,8651,0.13627914303717703,identity,3.9548022747039795,3.9548022747039795,16.554639637470245
MEANGAM,8.056775093078613,89.13902282714844,8829,0.13908317580340268,identity,28.576913833618164,28.576913833618164,11.513044357299805
MEANGBT,3.643123149871826,323.31451416015625,8726,0.1374606175173283,identity,105.64215469360352,105.64215469360352,33.77943801879883
MEANGBZ,4.379327774047852,505.1309509277344,8723,0.1374133585381222,identity,110.74517059326172,110.74517059326172,31.190916061401367
MEANGBH,1.8802727460861206,187.91200256347656,8723,0.1374133585381222,identity,43.52421188354492,43.52421188354492,20.538393020629883
MEANJZH,-0.23896807432174683,0.2920601963996887,8723,0.1374133585381222,identity,0.0010472986614331603,0.0010472986614331603,0.00718037475598976
TOTFY,-1.4414878420850012e+25,8.992690890527019e+24,2224,0.035034656584751134,signed_log1p,0.0,0.0,102.67900898730285
MEANJZD,-46.79133605957031,26.92336654663086,8723,0.1374133585381222,identity,0.011705088429152966,0.011705088429152966,0.634513147175312
MEANALP,-50.79508590698242,39.51532745361328,8726,0.1374606175173283,identity,0.003887568018399179,0.003887568018399179,0.02517987764440477
TOTFX,-2.4566693533678663e+25,2.1555631498527053e+25,2224,0.035034656584751134,signed_log1p,50.529489558690535,50.529489558690535,101.20713109040068
EPSY,-0.49322596192359924,0.49186205863952637,8723,0.1374133585381222,identity,0.006463699508458376,0.006463699508458376,0.13916966132819653
EPSX,-0.4946829378604889,0.49171677231788635,8723,0.1374133585381222,identity,-0.11310422420501709,-0.11310422420501709,0.22935125790536404
R_VALUE,0.0,7.402930736541748,2159,0.034010712035286716,signed_log1p,0.0,0.0,1.4998139267208015
