formerly_dropped_feature,retained_feature,absolute_pearson_rank,strongest_retained_pair,pearson,spearman,old_removal_reason,physical_importance_inference
TOTBSQ,TOTUSJH,1,True,0.9834850894329558,0.9841916013761052,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,TOTFZ,2,False,-0.8393127972509722,-0.9773525529749166,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,ABSNJZH,3,False,0.8079505825456266,0.8246068749949994,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,SAVNCPP,4,False,0.7899993919415952,0.8180829504107493,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,EPSZ,5,False,0.6165594656434528,0.3424192066031041,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,SHRGT45,6,False,0.5666564675066241,0.4789043078026578,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,R_VALUE,7,False,0.5205639897646289,0.6791673494540691,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANGAM,8,False,0.4700470672417903,0.37292034952992653,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,TOTFX,9,False,0.1753862312843937,0.26355583822536455,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANGBT,10,False,-0.17362599553016947,-0.35021664322004664,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,TOTFY,11,False,-0.13838257783226238,-0.015527392933573423,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,EPSX,12,False,0.11956755704792635,0.17917038179836417,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANJZH,13,False,-0.10707063858801047,-0.04703450613527637,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANGBH,14,False,0.10559712199604666,0.0637432402224086,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANALP,15,False,-0.03313413054446671,-0.08302198296991152,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANPOT,16,False,-0.00923475562881104,0.5769697463213014,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,MEANJZD,17,False,-0.008677651610401751,-0.12660185465058205,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
TOTBSQ,EPSY,18,False,-0.0034407531400219597,-0.03343157967543731,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,TOTUSJH,1,True,0.9547376931738165,0.9640470961693056,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,TOTFZ,2,False,-0.9297744133048834,-0.9848048314372896,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,ABSNJZH,3,False,0.7498059436308385,0.7981731205702309,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,SAVNCPP,4,False,0.7476023849174668,0.7945247859144713,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,EPSZ,5,False,0.5931928264382792,0.24585265880329152,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,R_VALUE,6,False,0.5522867745018433,0.6655651984344456,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,SHRGT45,7,False,0.5354618197740386,0.4105399334610559,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,MEANGAM,8,False,0.4398438589621322,0.2696457354239571,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,MEANGBT,9,False,-0.20002610117278327,-0.43184942582026603,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,TOTFX,10,False,0.16411046220056053,0.2941944274533941,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,TOTFY,11,False,-0.14422275920950592,-0.016988157048192735,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,EPSX,12,False,0.12735126619977696,0.134988160212188,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,MEANJZH,13,False,-0.08234368217400698,-0.03674552905166029,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,MEANGBH,14,False,0.06964290773436375,-0.05266299203393306,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
USFLUX,MEANALP,15,False,-0.02847848480934128,-0.06653847137344648,absolute Pearson correlation > 0.98 in the legacy pipeline,none; redundancy is not lack of physical relevance
