feature,raw_min,raw_max,missing_count,missing_rate,transformation,imputation_median_transformed,robust_center,robust_scale_iqr
TOTUSJH,0.0,11523.248046875,1938,0.03618371919342789,signed_log1p,2.9435033854540045,2.9435033854540045,2.266203357507627
TOTBSQ,0.0,142473854976.0,1938,0.03618371919342789,signed_log1p,18.95988048981783,18.95988048981783,2.7624397614052043
TOTPOT,0.0,8.67218978029276e+25,1938,0.03618371919342789,signed_log1p,48.44196443460517,48.44196443460517,2.7716071178600643
TOTUSJZ,0.0,283397444337664.0,1938,0.03618371919342789,signed_log1p,26.707385047015478,26.707385047015478,2.2696422894639596
ABSNJZH,0.0,2856.350830078125,1938,0.03618371919342789,signed_log1p,1.052383010568939,1.052383010568939,1.7818245112076667
SAVNCPP,0.0,108546205155328.0,1937,0.03616504854368929,signed_log1p,25.76726991109564,25.76726991109564,2.527855715721362
USFLUX,0.0,1.1966851439138272e+23,1938,0.03618371919342789,signed_log1p,47.22147170665542,47.22147170665542,2.5311756206638734
TOTFZ,-5.216694029522081e+25,3.770667250765593e+24,1938,0.03618371919342789,signed_log1p,-53.31551472832764,-53.31551472832764,2.8183202493087407
MEANPOT,11.362643241882324,1540010240.0,7606,0.1420089619118745,signed_log1p,7.48823148743472,7.48823148743472,0.786450727132336
EPSZ,-0.9987951517105103,0.9995484352111816,7606,0.1420089619118745,identity,-0.6360524594783783,-0.6360524594783783,0.20692403614521027
MEANSHR,2.135517120361328,164.76919555664062,7606,0.1420089619118745,identity,22.8858003616333,22.8858003616333,9.542460918426514
SHRGT45,0.0,100.0,7534,0.14066467513069458,identity,3.944408893585205,3.944408893585205,16.394168242812157
MEANGAM,8.056775093078613,89.13902282714844,7676,0.14331590739357725,identity,28.576363563537598,28.576363563537598,11.602420806884766
MEANGBT,3.643123149871826,323.31451416015625,7607,0.1420276325616131,identity,106.097412109375,106.097412109375,33.63664627075195
MEANGBZ,4.379327774047852,443.26885986328125,7606,0.1420089619118745,identity,110.98196792602539,110.98196792602539,30.933454513549805
MEANGBH,1.8802727460861206,187.91200256347656,7606,0.1420089619118745,identity,43.55093574523926,43.55093574523926,20.766063690185547
MEANJZH,-0.23896807432174683,0.1863303929567337,7606,0.1420089619118745,identity,0.0011338116019032896,0.0011338116019032896,0.0071209215093404055
TOTFY,-1.1294368394344569e+25,8.992690890527019e+24,1938,0.03618371919342789,signed_log1p,0.0,0.0,102.73336154103418
MEANJZD,-46.79133605957031,26.92336654663086,7606,0.1420089619118745,identity,0.006277570966631174,0.006277570966631174,0.6290359050035477
MEANALP,-50.79508590698242,39.51532745361328,7607,0.1420276325616131,identity,0.004151508677750826,0.004151508677750826,0.025043237023055553
TOTFX,-1.4336621567881813e+25,1.7755176791307685e+25,1938,0.03618371919342789,signed_log1p,50.52672087707944,50.52672087707944,101.14285371775897
EPSY,-0.49322596192359924,0.49186205863952637,7606,0.1420089619118745,identity,0.0019111648434773088,0.0019111648434773088,0.1416778899729252
EPSX,-0.4946829378604889,0.49171677231788635,7606,0.1420089619118745,identity,-0.11324838548898697,-0.11324838548898697,0.22841771552339196
R_VALUE,0.0,7.402930736541748,1873,0.034970126960418235,signed_log1p,0.0,0.0,1.488320831756396
